bird_id,iteration,rseed,distance,kdistance,n_syll
0,0,56755036,49.6038401418542,52.0749279196833,6
1,0,56755036,47.4947189612089,48.703142220566,5
2,0,56755036,35.7159267978065,35.8721865307221,6
3,0,56755036,13.2422542725589,16.6063004868204,4
4,0,56755036,44.0553695965848,47.606559173108,4
5,0,56755036,27.6713381847853,27.5969920072711,4
6,0,56755036,34.8620946215651,43.7883204036852,5
7,0,56755036,29.905802473236,24.7840301306643,8
8,0,56755036,30.1039549435705,34.8578053721222,4
9,0,56755036,34.3538674148556,46.5541596509827,6
10,0,56755036,28.4064682827763,28.2989577371129,5
11,0,56755036,30.0528424477591,33.5711563200455,5
12,0,56755036,20.1234916745905,20.8983317313092,3
13,0,56755036,57.4595389700032,61.0132170846701,7
14,0,56755036,35.1938410891489,39.7404247512575,4
15,0,56755036,53.7118912292648,58.8561899296538,6
16,0,56755036,16.877030257235,15.6256594288263,3
17,0,56755036,36.4158911723803,36.4816331034753,4
18,0,56755036,34.4304246111761,36.395082573813,6
19,0,56755036,21.4442159147862,24.4412222363002,3
20,0,56755036,30.8525981566977,31.6972396345698,4
21,0,56755036,31.8919507443593,31.8530383551301,6
22,0,56755036,48.0250891254578,49.945172156165,8
23,0,56755036,37.9528726247875,38.0891492831851,5
24,0,56755036,17.267559081968,31.3576364624729,4
25,0,56755036,29.5888389328341,29.3607280669767,4
26,0,56755036,21.7048861801331,22.003326744615,3
27,0,56755036,26.934061793268,30.2216407038236,4
28,0,56755036,29.8630346770929,30.4235338481828,5
29,0,56755036,34.0024718776737,33.7124480061537,4
30,0,56755036,42.0158689936852,43.2734504011726,5
0,1,21081788,33.7562162721002,37.7542095044417,6
1,1,21081788,32.0489196453062,35.6407028713509,5
2,1,21081788,33.4509530276847,31.0301865390953,6
3,1,21081788,27.2319685273189,29.6614519920399,4
4,1,21081788,34.500439068594,35.3728776037476,4
5,1,21081788,28.9526348260543,31.2685408858188,4
6,1,21081788,31.3052041892794,29.5337206428215,5
7,1,21081788,34.7376030503082,35.8389193460749,8
8,1,21081788,41.0766613813133,38.0263449350177,4
9,1,21081788,36.2840339836049,42.6771323165802,6
10,1,21081788,30.4764061161233,31.7084315156502,5
11,1,21081788,40.0327935066477,42.9693228047089,5
12,1,21081788,24.8029233272794,26.853445906519,3
13,1,21081788,56.693670068575,56.7973247282624,7
14,1,21081788,35.9918557368482,38.5493042401619,4
15,1,21081788,30.521892255449,34.3157589446128,6
16,1,21081788,14.6730835100542,14.6107934407596,3
17,1,21081788,26.6060932378714,26.6650434481041,4
18,1,21081788,33.3801753028158,33.5922771066731,6
19,1,21081788,12.4753837560553,10.3636104055505,3
20,1,21081788,35.9526863662791,37.8434356345898,4
21,1,21081788,36.5772291555176,33.4000307710899,6
22,1,21081788,47.4038376443392,53.5453677728871,8
23,1,21081788,49.253180842632,50.1427030457088,5
24,1,21081788,27.1780024242775,29.2403707591017,4
25,1,21081788,32.5648021749535,35.5167915316634,4
26,1,21081788,25.1406820316211,26.7441274323466,3
27,1,21081788,31.9221633278885,37.4565471622184,4
28,1,21081788,31.5920726075877,32.1247664258765,5
29,1,21081788,29.8297021425882,34.1170610446243,4
30,1,21081788,39.4577444519686,39.8068889345369,5
0,2,26735830,53.1707454165796,59.106257436086,6
1,2,26735830,41.0791560983178,41.9048530861846,5
2,2,26735830,32.2510856840697,46.210770513365,6
3,2,26735830,13.643038501977,15.0900630309088,4
4,2,26735830,30.400483217192,30.4790774043034,4
5,2,26735830,34.2590452438216,33.7012568287159,4
6,2,26735830,48.3959823389273,59.9539843208947,5
7,2,26735830,38.6615480023661,36.6627136611959,8
8,2,26735830,30.5617284807728,29.1435314850642,4
9,2,26735830,24.2512204098076,27.8901100648166,6
10,2,26735830,44.1180641966187,44.4701623938037,5
11,2,26735830,30.4732642498343,31.4475792227255,5
12,2,26735830,18.2875381955399,18.6948843101416,3
13,2,26735830,49.1076028545917,50.0260156136523,7
14,2,26735830,28.0079736356666,28.429512034458,4
15,2,26735830,45.4569372298216,46.8197640732392,6
16,2,26735830,20.2913587007,20.3663840990969,3
17,2,26735830,35.9015723207883,36.0996596190585,4
18,2,26735830,48.5742991313439,47.2051352480119,6
19,2,26735830,9.40887899058393,12.6132141676861,3
20,2,26735830,19.9620859249181,21.1390091996958,4
21,2,26735830,45.0160351882265,45.2176439715377,6
22,2,26735830,56.171499264013,56.1749737511185,8
23,2,26735830,18.0448099003045,18.1763488881525,5
24,2,26735830,20.6881100804662,21.1441562716238,4
25,2,26735830,34.2466253410661,43.2631517094809,4
26,2,26735830,29.6945414489822,32.7668623412082,3
27,2,26735830,23.1630945723925,25.1707944912709,4
28,2,26735830,24.8407882273791,26.0418423332174,5
29,2,26735830,20.5655459344019,20.1265061522123,4
30,2,26735830,56.3800488630675,56.8177847810981,5
0,3,31632483,33.9588192434328,35.396142547764,6
1,3,31632483,40.0765382069872,43.3668392164603,5
2,3,31632483,32.5854906362246,47.5030835552705,6
3,3,31632483,15.9406554711132,13.4656302590341,4
4,3,31632483,28.7500463256331,30.2494579820869,4
5,3,31632483,25.9596481575486,26.3479093564791,4
6,3,31632483,35.7279720794294,34.2901901534119,5
7,3,31632483,34.8907315150856,34.4878419436413,8
8,3,31632483,47.8135546326917,54.7010132250872,4
9,3,31632483,34.2507952215148,43.3219529305063,6
10,3,31632483,35.8591383405892,36.5375009779962,5
11,3,31632483,27.0156299305605,40.7853187666659,5
12,3,31632483,20.7998727093976,22.8418316959552,3
13,3,31632483,34.1066216579513,35.0032720182553,7
14,3,31632483,7.77591612741729,8.72337176596062,4
15,3,31632483,52.5190495203179,53.111590976583,6
16,3,31632483,14.0783902340995,14.2086458072508,3
17,3,31632483,28.6264172727429,28.3355451578322,4
18,3,31632483,32.6797769109356,29.1481452936304,6
19,3,31632483,19.1219842893219,19.8354513317404,3
20,3,31632483,9.91267937264715,10.2218759014189,4
21,3,31632483,43.3398852549362,43.4881762150335,6
22,3,31632483,60.6149743064149,63.4797987596976,8
23,3,31632483,42.207923972318,41.9954653706941,5
24,3,31632483,24.4036870154904,33.220719741411,4
25,3,31632483,33.4747097282034,42.008758649914,4
26,3,31632483,8.27909167608195,9.11340913476384,3
27,3,31632483,15.3658122138846,15.6415166315369,4
28,3,31632483,30.4013976639873,31.1920289454145,5
29,3,31632483,26.6868563281852,26.7636246933315,4
30,3,31632483,46.5696916354368,47.0296589221597,5
0,4,96319575,36.8951480848151,36.71815938912,6
1,4,96319575,31.1532548545391,34.4882473579871,5
2,4,96319575,33.052181196571,48.8533374406909,6
3,4,96319575,21.0446119649108,17.3305963273787,4
